"","order","family","species","common_name","Neritic_Oceanic","Bentho_Pelagic","feeding_strategy","trophic_level","IUCN","fisheries_interest","G.GI","method","N","n_fish_ingested","FO","binary"
"152","Perciformes","Gerreidae","Diapterus rhombeus","Caitipa mojarra","N",NA,"BP",3,"NE","Y","G",NA,"44","5",11.36,1
"153","Perciformes","Gerreidae","Eugerres brasilianus","Brazilian mojarra","N",NA,"BP",3.4,"NE","Y","G",NA,"240","39",16.25,1
"154","Perciformes","Gerreidae","Eucinostomus melanopterus","Flagfin mojarra","N",NA,"O",3.4,"NE","Y","G",NA,"141","13",9.22,1
"155","Perciformes","Gobiidae","Pomatoschistus minutus","Sand goby","N","B","BP",3.2,"NE","N","GI"," ","200","15",7.5,1
"156","Perciformes","Gobiidae","Synechogobius ommaturus","Asian freshwater goby","N","B","BP",3.5,"NE","N","GI","3","18","18",100,1
"157","Perciformes","Haemulidae","Anisotremus virginicus","Porkfish","N",NA,"BP",3.6,"LC","Y","GI","2","1","0",0,0
"158","Perciformes","Haemulidae","Conodon nobilis","Barred grunt","N",NA,"BP",3.6,"LC","Y","GI","2","8","0",0,0
"159","Perciformes","Haemulidae","Genyatremus luteus","Torroto grunt","N",NA,"O",3.5,"NE","Y","GI","2","8","0",0,0
"160","Perciformes","Haemulidae","Haemulon plunierii","White grunt","N",NA,"BP",3.8,"LC","Y","GI","2","13","0",0,0
"161","Perciformes","Haemulidae","Haemulon steindachneri","Chere-chere grunt","N",NA,"BP",3.7,"LC","Y","GI","2","5","0",0,0
"162","Perciformes","Haemulidae","Orthopristis chrysoptera","Grunt, pigfish","N",NA,"BP",3.4,"LC","Y","G ","2","157","42",26.75,1
"163","Perciformes","Haemulidae","Orthopristis ruber","Corocoro grunt","N",NA,"BP",3.6,"LC","Y","GI","2","2","0",0,0
"164","Perciformes","Haemulidae","Plectorhinchus gaterinus","Blackspotted subberlip","N","B","BP",4,"NE","Y","GI","3","6","2",33.33,1
"165","Perciformes","Haemulidae","Pomadasys incisus","Bastard grunt","N",NA,"BP",3.8,"LC","Y","GI","3","29","16",55.17,1
"166","Perciformes","Kyphosidae","Girella laevifrons","n/a","N","P","G",2.6,"NE","N","GI","3","16","16",100,1
